,PREDDEG,CONTROL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_MEN
2795,3.0,2.0,2719.0,0.6844,0.0526,0.0783,0.0416,0.0,0.0,0.0342,0.0787,0.0302,0.5123
2796,3.0,2.0,1350.0,0.5385,0.197,0.0452,0.0156,0.0022,0.0,0.1378,0.0007,0.063,0.477
2797,4.0,2.0,,,,,,,,,,,
2798,1.0,3.0,367.0,0.4223,0.0872,0.2507,0.0191,0.0,0.0,0.0736,0.0,0.1471,0.0245
2799,2.0,3.0,131.0,0.4656,0.374,0.1069,0.0534,0.0,0.0,0.0,0.0,0.0,0.1679
2800,1.0,3.0,52.0,0.7308,0.1346,0.0577,0.0385,0.0,0.0,0.0192,0.0192,0.0,0.0385
2801,3.0,2.0,1635.0,0.83,0.0257,0.0636,0.0257,0.0,0.0006,0.0379,0.0098,0.0067,0.4679
2802,2.0,1.0,4809.0,0.5269,0.0805,0.2882,0.0254,0.0037,0.0006,0.0426,0.0044,0.0277,0.3444
2803,2.0,3.0,334.0,0.2844,0.1048,0.518,0.0,0.003,0.003,0.0808,0.0,0.006,0.3054
2804,3.0,2.0,5446.0,0.61,0.0481,0.1023,0.0907,0.0011,0.0002,0.0378,0.083,0.0268,0.5397
2805,1.0,3.0,560.0,0.2768,0.1786,0.3143,0.0089,0.0071,0.0,0.0446,0.0,0.1696,0.2196
2806,1.0,3.0,338.0,0.1213,0.3136,0.1598,0.0296,0.0,0.0,0.0266,0.0,0.3491,0.8994
2807,3.0,1.0,1763.0,0.0085,0.8486,0.0647,0.0006,0.0017,0.0,0.0312,0.0261,0.0187,0.3375
2808,3.0,1.0,2361.0,0.859,0.0635,0.0368,0.0106,0.0034,0.0004,0.0042,0.0051,0.0169,0.3973
2809,1.0,2.0,114.0,0.7632,0.0789,0.0088,0.0175,0.0,0.0,0.0526,0.0,0.0789,0.1228
2810,4.0,2.0,,,,,,,,,,,
2811,2.0,1.0,3492.0,0.5713,0.0725,0.175,0.014,0.0052,0.0006,0.0066,0.0,0.1549,0.3405
2812,3.0,2.0,1081.0,0.593,0.1323,0.1369,0.0139,0.0009,0.0,0.0407,0.0361,0.0463,0.4514
2813,2.0,2.0,537.0,0.4283,0.2998,0.1341,0.0372,0.0074,0.0,0.0689,0.0,0.0242,0.2346
2814,3.0,1.0,1487.0,0.7794,0.0921,0.0464,0.0047,0.0007,0.0007,0.0377,0.0087,0.0296,0.3679
2815,3.0,2.0,1719.0,0.7627,0.0297,0.0896,0.0244,0.0006,0.0006,0.025,0.0052,0.0622,0.3182
2816,2.0,3.0,280.0,0.8429,0.0571,0.0,0.0107,0.0071,0.0,0.0679,0.0,0.0143,0.0607
2817,1.0,3.0,141.0,0.5603,0.227,0.0567,0.0496,0.0,0.0,0.0922,0.0,0.0142,0.1418
2818,3.0,2.0,2594.0,0.8011,0.0486,0.0463,0.0116,0.0058,0.0004,0.0085,0.0409,0.037,0.404
2819,3.0,2.0,2350.0,0.7847,0.0379,0.0698,0.0306,0.0009,0.0,0.04,0.0323,0.0038,0.3906
2820,1.0,2.0,8.0,0.125,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.375
2821,3.0,1.0,6093.0,0.7515,0.0822,0.1039,0.0315,0.0036,0.001,0.0107,0.0072,0.0084,0.4087
2822,3.0,2.0,1763.0,0.8469,0.0346,0.0329,0.0176,0.0017,0.0011,0.0374,0.0011,0.0267,0.3307
2823,2.0,1.0,8040.0,0.5711,0.1555,0.1042,0.0612,0.0019,0.0019,0.0456,0.0134,0.0451,0.3968
2824,3.0,2.0,357.0,0.5602,0.1597,0.0588,0.0532,0.0056,0.0056,0.0812,0.0,0.0756,0.0
2825,3.0,2.0,1871.0,0.7151,0.0363,0.1336,0.0267,0.0032,0.0016,0.0182,0.0176,0.0476,0.3875
2826,2.0,2.0,1035.0,0.7894,0.0251,0.0184,0.0116,0.0048,0.0,0.0,0.0473,0.1034,0.2725
